respondent_id,A1_zone,A2_business_type,A3_years_operating,A4_daily_revenue,A5_employees,A6_bank_account,A7_mobile_wallet,A8_smartphone,B1a_qr_display,B1b_qr_registered,B2_provider,B3_daily_customers,B4_no_qr_situation,B5_received_digital,B6_inspected,C1_cashless_kp_awareness,C2_mandate_awareness,C3_safe_harbour_aware,C4_tax_burden_belief,C5_payment_trust,C6_record_fear,C7_training_received,C8_would_register_if_no_tax,C9_dispute_resolution_aware,D1_no_smartphone,D2_internet_unreliable,D3_dont_know_how,D4_process_complex,D5_fees_high,D6_customers_prefer_cash,D7_audit_fear,D8_distrust_safety,D9_amounts_too_small,D10_no_peer_pressure,D11_customer_demand_est,D12_peer_will_register,E1_willingness,E2_pref_1,E2_pref_2,E3_paymir_awareness,E4_cash_incentive_effect,E5_trusted_info_source,E6_followup_consent,F1_open_ended,B1b_registered_binary,vendor_food,has_bank_account,has_mobile_wallet,has_smartphone
KHT-0017,2,5,2,2,1,1,3,1,1,1.0,3.0,3.0,,3,2,3,1,0,1,2,1,4,1,0,1,3,3,2,3,4,3,1,2,2,2,5,1,4,3,3,3,5,2,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,0,1
KHT-0018,1,1,2,1,4,1,3,2,0,,,,3.0,3,2,3,3,0,1,2,2,2,3,0,2,2,3,1,2,2,1,2,1,3,5,2,1,4,3,3,1,3,1,Darr hai ke FBR aa jaye ga,0,1,1,0,0
KHT-0019,2,1,1,4,1,2,2,1,0,,,,3.0,3,2,2,2,0,1,4,2,4,1,0,2,2,4,3,3,3,4,3,1,1,5,4,1,6,5,3,2,2,2,Darr hai ke FBR aa jaye ga,0,1,0,0,1
KHT-0020,3,1,4,2,2,3,2,2,0,,,,3.0,3,2,3,2,1,3,1,2,3,3,0,4,4,3,4,3,3,1,3,2,1,3,1,5,5,4,3,4,4,2,Mujhe pata nahi tha ke kaise register karein,0,1,0,0,0
KHT-0021,1,1,3,2,2,3,1,1,1,2.0,2.0,3.0,,3,2,3,2,0,1,1,1,4,1,0,1,2,2,3,2,3,4,1,2,4,0,4,1,4,7,3,3,6,2,Internet sahi nahi hota yahan,0,1,0,1,1
KHT-0022,2,1,4,4,3,1,1,2,1,3.0,2.0,3.0,,3,2,2,2,0,1,3,1,4,1,0,2,2,3,3,1,4,2,1,2,3,1,3,1,4,3,2,1,4,2,Registration ka tareeqa bohat mushkil lagta hai,0,1,1,1,0
KHT-0023,2,2,1,2,1,3,3,2,0,,,,4.0,3,1,2,2,0,1,1,1,4,1,0,2,3,2,2,3,2,4,3,2,4,1,2,1,1,5,3,1,4,1,Mere grahak cash hi dete hain,0,0,0,0,0
KHT-0024,1,4,4,4,1,2,1,1,1,2.0,4.0,3.0,,3,2,3,2,0,2,2,2,4,5,0,2,1,3,4,4,3,4,3,4,3,2,2,1,1,6,3,1,7,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,1,1
KHT-0025,1,2,4,3,3,3,1,2,0,,,,3.0,1,2,2,1,0,2,2,1,4,5,0,1,3,3,1,3,4,2,3,3,3,4,3,2,6,5,3,3,3,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,1,0
KHT-0026,2,4,2,2,3,2,3,1,0,,,,3.0,2,2,2,1,0,1,3,2,4,1,0,1,1,2,3,2,3,4,3,3,3,4,4,1,4,5,3,2,7,1,Mere grahak cash hi dete hain,0,0,0,0,1
KHT-0027,3,1,2,4,2,2,3,2,0,,,,3.0,3,2,3,2,0,2,1,2,4,3,0,4,1,4,3,3,3,4,2,4,2,5,2,2,3,1,3,1,6,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,1,0,0,0
KHT-0028,2,6,2,1,2,3,3,3,1,1.0,3.0,2.0,,3,2,1,3,1,2,2,2,4,3,0,3,4,3,4,4,4,3,3,3,2,5,5,2,3,6,3,3,4,2,Internet sahi nahi hota yahan,1,0,0,0,0
KHT-0029,1,5,1,1,2,1,1,1,1,2.0,1.0,3.0,,3,1,2,3,0,1,2,3,4,3,0,1,2,3,5,1,1,3,3,3,3,2,2,3,1,3,2,3,4,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,1,1
KHT-0030,3,6,4,1,1,3,1,2,0,,,,3.0,3,2,1,1,0,1,2,1,4,4,0,2,3,3,2,4,2,4,3,1,2,3,2,2,1,4,3,1,2,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,1,0
KHT-0031,1,4,2,1,1,2,1,1,0,,,,3.0,2,1,2,2,0,1,2,1,2,1,1,1,1,4,3,4,4,4,2,3,4,1,4,2,6,2,3,2,7,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,1,1
KHT-0032,2,3,1,2,1,1,3,1,1,1.0,2.0,3.0,,3,2,3,2,0,3,1,2,4,1,0,1,4,3,4,3,4,3,3,2,2,4,4,3,6,1,3,4,5,1,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,0,1
KHT-0033,1,4,3,1,3,3,2,1,1,2.0,2.0,4.0,,2,2,2,1,0,1,3,2,4,4,0,1,2,1,4,3,3,1,2,4,1,2,2,3,6,2,3,4,1,1,Mere grahak cash hi dete hain,0,0,0,0,1
KHT-0034,2,4,2,3,1,3,1,1,0,,,,2.0,1,1,2,1,0,2,3,3,2,3,0,1,2,3,3,2,2,5,3,2,4,2,1,2,5,6,1,4,2,1,Mujhe pata nahi tha ke kaise register karein,0,0,0,1,1
KHT-0035,3,3,2,2,1,3,2,1,0,,,,4.0,1,2,3,3,0,2,1,1,4,2,0,1,4,4,1,2,3,2,3,4,2,3,3,1,5,6,2,1,7,1,Darr hai ke FBR aa jaye ga,0,0,0,0,1
KHT-0036,2,6,4,1,1,1,1,1,0,,,,4.0,3,2,2,3,0,1,4,3,2,1,0,2,2,2,3,3,5,3,2,3,4,4,2,2,5,2,3,2,4,1,Mujhe pata nahi tha ke kaise register karein,0,0,1,1,1
KHT-0037,3,2,3,2,1,3,1,2,1,3.0,2.0,4.0,,3,1,3,2,0,3,2,4,4,1,0,3,2,2,3,4,3,2,1,1,1,3,2,2,6,1,2,1,7,1,Sab log cash mein karte hain toh main kyun badulon?,0,0,0,1,0
KHT-0038,1,1,3,4,3,3,1,1,0,,,,2.0,2,2,1,2,0,1,1,2,4,4,0,1,2,4,3,2,4,1,3,4,3,3,3,3,6,3,3,5,4,2,Mere grahak cash hi dete hain,0,1,0,1,1
KHT-0039,3,6,3,4,4,3,2,1,1,1.0,2.0,2.0,,3,2,3,1,0,2,1,1,4,4,0,1,3,4,3,1,2,4,3,1,2,1,3,1,1,5,2,3,2,2,Mujhe pata nahi tha ke kaise register karein,1,0,0,0,1
KHT-0040,1,4,4,1,1,3,1,1,0,,,,2.0,3,2,2,3,1,2,3,1,1,1,0,2,2,2,1,1,4,1,2,1,1,3,4,3,1,3,3,1,6,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,1,1
KHT-0041,1,2,2,1,2,1,3,2,0,,,,2.0,2,1,1,3,1,5,1,3,1,1,0,3,3,3,4,1,5,3,4,1,2,4,2,3,7,1,3,4,4,2,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,1,0,0
KHT-0042,3,4,2,1,1,2,3,1,0,,,,3.0,3,2,3,2,0,1,3,1,4,4,0,1,3,5,4,2,3,3,3,2,3,0,5,2,6,2,3,3,6,1,Internet sahi nahi hota yahan,0,0,0,0,1
KHT-0043,1,4,3,2,1,1,3,1,1,2.0,1.0,3.0,,2,2,3,3,1,3,2,5,3,1,0,1,2,1,3,5,3,3,4,2,2,0,4,3,7,2,3,2,2,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,1,0,1
KHT-0044,1,1,1,4,1,1,3,1,0,,,,3.0,3,2,3,2,0,3,1,1,4,1,0,3,3,2,4,2,3,4,2,3,2,1,3,1,3,2,3,2,5,1,Fees zyada hain wallets ki,0,1,1,0,1
KHT-0045,3,4,3,1,2,2,1,1,0,,,,3.0,2,2,3,3,0,3,4,2,4,2,0,3,3,3,1,2,4,5,4,1,3,5,2,2,7,4,3,1,5,1,Hamari dukan chhoti hai digital ki zaroorat nahi,0,0,0,1,1
KHT-0046,3,1,3,2,2,2,3,1,0,,,,3.0,3,2,3,2,0,2,2,1,4,5,0,1,1,4,4,3,2,4,3,4,2,2,5,2,1,3,3,2,5,1,Fees zyada hain wallets ki,0,1,0,0,1
KHT-0047,3,2,2,1,1,3,2,1,0,,,,3.0,1,2,2,2,0,2,3,1,1,4,0,1,3,1,4,4,3,3,2,3,2,3,3,1,6,1,3,2,3,1,Fees zyada hain wallets ki,0,0,0,0,1
KHT-0048,2,1,1,2,3,1,2,2,0,,,,3.0,3,2,1,2,0,1,2,1,4,2,0,1,2,4,4,3,4,2,3,2,2,3,5,3,1,5,3,2,4,2,Sab log cash mein karte hain toh main kyun badulon?,0,1,1,0,0
KHT-0049,1,4,1,3,3,2,3,1,0,,,,3.0,2,1,2,2,0,3,1,3,4,4,0,1,1,3,2,1,3,1,2,1,2,7,5,2,3,4,3,4,4,2,Sab log cash mein karte hain toh main kyun badulon?,0,0,0,0,1
KHT-0050,2,1,4,2,1,1,3,1,1,1.0,2.0,2.0,,3,2,1,2,0,2,1,2,3,2,0,1,2,2,2,2,3,3,2,1,3,4,1,3,2,6,3,2,7,2,Mere grahak cash hi dete hain,1,1,1,0,1
KHT-0051,1,2,3,1,1,3,1,1,0,,,,3.0,3,2,3,1,1,4,2,2,2,2,0,1,2,3,3,1,2,3,1,3,2,6,2,4,1,2,2,3,2,2,Internet sahi nahi hota yahan,0,0,0,1,1
KHT-0052,1,2,2,3,2,1,3,1,1,2.0,2.0,1.0,,3,1,2,2,1,3,2,1,4,3,0,3,3,3,3,3,4,2,3,2,2,1,3,2,1,5,2,2,3,1,Mere grahak cash hi dete hain,0,0,1,0,1
KHT-0053,1,1,1,1,3,3,3,1,0,,,,3.0,3,2,3,3,0,2,3,2,4,1,0,1,1,2,4,2,3,5,2,2,3,3,1,2,3,2,3,4,2,2,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0054,2,2,3,2,1,2,1,1,0,,,,3.0,3,2,3,3,0,1,2,2,3,4,0,1,2,5,3,2,2,2,4,2,3,2,4,1,7,3,2,2,5,2,Sab log cash mein karte hain toh main kyun badulon?,0,0,0,1,1
KHT-0055,2,1,1,4,2,3,2,2,1,1.0,4.0,4.0,,2,2,3,2,0,2,2,2,2,1,0,4,3,1,2,1,3,3,2,4,3,4,2,1,4,2,2,1,5,1,Internet sahi nahi hota yahan,1,1,0,0,0
KHT-0056,2,3,4,2,2,3,3,2,0,,,,2.0,2,2,3,2,1,2,2,2,4,3,0,2,2,3,2,2,3,3,3,4,3,4,2,1,7,5,2,4,6,1,Mere grahak cash hi dete hain,0,0,0,0,0
KHT-0057,1,6,3,3,1,1,1,2,1,1.0,3.0,4.0,,3,2,3,2,1,3,3,3,4,5,1,2,2,3,4,3,3,1,2,3,2,5,2,3,7,3,2,2,4,2,Mere grahak cash hi dete hain,1,0,1,1,0
KHT-0058,2,5,1,2,2,3,2,1,1,1.0,1.0,3.0,,2,2,1,3,0,1,2,1,4,1,0,2,2,5,3,4,3,4,3,4,3,3,4,1,3,5,3,2,3,1,Internet sahi nahi hota yahan,1,0,0,0,1
KHT-0059,1,2,1,4,2,1,3,2,1,1.0,1.0,1.0,,3,2,1,2,1,4,2,1,1,2,0,2,2,4,4,3,4,2,3,1,1,4,3,4,4,7,3,2,4,1,Jab safe harbour ka pata chala to main ne register kar liya,1,0,1,0,0
KHT-0060,1,1,3,1,4,1,1,2,1,2.0,3.0,1.0,,3,2,3,3,0,1,2,2,4,2,0,3,2,1,4,1,3,2,1,2,3,1,4,2,6,4,3,2,4,2,Jab safe harbour ka pata chala to main ne register kar liya,0,1,1,1,0
KHT-0061,1,1,3,4,2,1,3,1,0,,,,4.0,3,2,2,2,0,1,2,3,1,1,0,3,2,2,5,1,4,2,3,2,2,1,3,3,6,7,3,2,2,2,Sab log cash mein karte hain toh main kyun badulon?,0,1,1,0,1
KHT-0062,2,1,3,4,3,1,1,2,0,,,,3.0,3,2,3,1,1,1,1,2,3,2,1,2,4,3,3,2,3,3,3,1,3,0,4,4,1,4,3,3,3,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,1,1,1,0
KHT-0063,2,3,2,2,1,2,2,3,1,1.0,2.0,2.0,,3,2,3,2,0,2,3,3,1,2,0,4,3,3,3,2,5,4,3,2,2,3,5,2,5,1,3,1,7,1,Jab safe harbour ka pata chala to main ne register kar liya,1,0,0,0,0
KHT-0064,3,1,2,1,2,1,1,1,0,,,,3.0,3,2,2,2,0,1,3,2,4,2,0,2,3,3,3,5,1,4,1,2,2,0,5,2,4,1,3,3,7,2,Mujhe pata nahi tha ke kaise register karein,0,1,1,1,1
KHT-0065,3,1,4,2,2,3,2,1,0,,,,2.0,3,2,3,2,0,1,4,3,3,3,0,2,3,3,3,4,3,4,2,4,3,4,4,1,7,6,3,1,2,2,Internet sahi nahi hota yahan,0,1,0,0,1
KHT-0066,2,2,2,2,3,3,1,1,0,,,,3.0,2,2,3,2,0,3,1,3,4,4,0,1,2,3,4,4,2,3,3,1,3,3,5,3,4,1,3,3,4,1,Internet sahi nahi hota yahan,0,0,0,1,1
KHT-0067,3,4,3,4,1,1,3,3,1,1.0,1.0,4.0,,2,2,3,1,0,1,3,1,4,1,0,2,3,3,3,3,2,4,4,2,3,2,4,4,1,5,3,1,6,1,Darr hai ke FBR aa jaye ga,1,0,1,0,0
KHT-0068,3,1,2,2,1,1,3,2,1,2.0,3.0,4.0,,3,2,3,2,0,2,1,2,4,2,0,2,1,3,3,3,4,3,1,2,3,3,2,3,1,5,3,1,5,2,Jab safe harbour ka pata chala to main ne register kar liya,0,1,1,0,0
KHT-0069,2,6,2,3,1,3,3,2,0,,,,3.0,2,2,3,3,0,1,3,1,3,1,0,3,2,2,4,3,3,2,3,3,2,4,3,3,4,1,3,3,4,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,0
KHT-0070,3,4,2,2,2,3,3,2,0,,,,2.0,2,1,3,2,0,3,2,2,3,1,0,2,3,2,2,4,3,3,2,3,3,4,4,2,1,4,2,2,5,2,Registration ka tareeqa bohat mushkil lagta hai,0,0,0,0,0
KHT-0071,1,3,3,1,1,1,1,1,1,1.0,1.0,1.0,,1,2,2,2,1,3,3,1,2,1,0,3,1,5,2,4,4,1,3,2,3,4,5,3,7,5,1,4,5,2,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,1,1
KHT-0072,1,3,3,2,1,1,3,1,0,,,,4.0,1,1,3,1,0,2,1,5,4,2,0,3,2,4,1,2,2,1,3,1,1,1,2,2,3,5,3,5,7,1,Internet sahi nahi hota yahan,0,0,1,0,1
KHT-0073,3,1,4,2,1,1,1,1,0,,,,3.0,3,1,3,2,0,2,2,1,3,2,0,1,4,3,2,3,3,5,3,1,3,6,4,4,2,5,3,1,5,2,Darr hai ke FBR aa jaye ga,0,1,1,1,1
KHT-0074,3,2,3,2,2,3,1,3,1,2.0,3.0,2.0,,3,1,3,2,1,4,2,2,4,3,0,2,3,4,2,3,3,1,1,1,3,4,3,5,1,5,3,1,2,1,Internet sahi nahi hota yahan,0,0,0,1,0
KHT-0075,3,4,3,1,1,3,2,2,0,,,,3.0,3,2,3,2,0,4,2,3,4,3,0,2,3,5,3,4,4,5,3,5,2,1,2,4,4,1,3,3,6,2,Darr hai ke FBR aa jaye ga,0,0,0,0,0
KHT-0076,3,2,3,3,1,1,1,2,0,,,,3.0,2,2,3,2,0,1,1,3,2,1,0,2,3,1,2,3,3,4,1,3,4,3,3,2,3,5,3,2,2,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,1,0
KHT-0077,1,1,2,2,1,2,1,1,0,,,,2.0,3,2,3,3,1,2,4,2,4,1,0,1,3,3,5,2,4,3,1,3,4,2,1,1,2,3,2,2,1,1,Mujhe pata nahi tha ke kaise register karein,0,1,0,1,1
KHT-0078,3,2,4,4,1,3,3,2,1,1.0,1.0,3.0,,3,2,3,3,0,1,3,3,1,2,0,2,1,2,3,4,5,4,3,3,2,2,4,1,2,5,3,1,2,2,Internet sahi nahi hota yahan,1,0,0,0,0
KHT-0079,3,6,4,3,4,2,1,1,1,1.0,2.0,3.0,,3,2,2,3,0,1,3,1,3,4,0,3,3,3,2,3,3,3,2,5,3,0,2,2,7,3,3,2,7,2,Mere grahak cash hi dete hain,1,0,0,1,1
KHT-0080,3,1,1,2,1,3,3,1,0,,,,3.0,2,2,1,3,1,2,3,3,2,3,1,1,1,1,2,3,2,2,4,1,3,6,4,2,4,2,3,1,5,1,Fees zyada hain wallets ki,0,1,0,0,1
KHT-0081,1,1,2,3,2,2,1,1,1,2.0,3.0,2.0,,3,2,3,2,0,2,2,1,3,5,0,2,1,2,4,2,4,3,3,3,4,4,4,3,1,7,1,2,6,2,Internet sahi nahi hota yahan,0,1,0,1,1
KHT-0082,2,5,2,3,2,1,3,1,1,1.0,2.0,2.0,,3,2,2,2,0,1,3,1,4,3,0,2,2,3,3,1,2,4,1,2,2,6,4,1,3,6,3,2,3,1,Internet sahi nahi hota yahan,1,0,1,0,1
KHT-0083,3,3,1,2,4,1,3,1,0,,,,3.0,1,2,3,3,0,5,3,2,3,3,0,1,3,2,3,4,4,3,2,3,4,0,4,2,6,1,3,4,7,2,Sab log cash mein karte hain toh main kyun badulon?,0,0,1,0,1
KHT-0084,2,1,3,1,2,1,3,1,1,1.0,3.0,3.0,,1,2,3,2,0,2,2,2,2,4,0,2,2,2,1,2,3,2,3,2,1,3,2,3,3,6,3,3,6,1,Sab log cash mein karte hain toh main kyun badulon?,1,1,1,0,1
KHT-0085,3,4,3,1,1,3,3,2,0,,,,1.0,3,2,3,1,0,2,2,1,4,1,0,1,2,4,4,2,3,1,2,3,4,1,4,1,6,4,3,3,6,1,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,0,0
KHT-0086,2,3,1,4,2,1,3,2,0,,,,3.0,3,2,3,1,0,3,1,4,4,3,0,4,3,1,4,2,3,2,3,2,3,2,5,4,4,3,3,1,2,2,Fees zyada hain wallets ki,0,0,1,0,0
KHT-0087,2,1,1,2,1,3,3,1,0,,,,2.0,2,2,3,3,0,1,1,2,4,1,0,3,3,1,3,4,4,2,3,1,3,5,4,1,2,6,3,4,4,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,1,0,0,1
KHT-0088,1,5,1,2,2,1,2,2,1,2.0,1.0,3.0,,3,2,3,3,0,2,4,1,3,4,0,3,1,2,4,3,3,4,3,2,3,1,1,1,2,7,2,3,3,2,Mujhe pata nahi tha ke kaise register karein,0,0,1,0,0
KHT-0089,3,3,3,2,1,1,3,2,0,,,,3.0,3,2,3,3,0,1,2,3,4,2,0,1,1,4,1,4,3,3,3,3,2,4,5,1,3,2,3,1,2,1,Mere grahak cash hi dete hain,0,0,1,0,0
KHT-0090,1,2,1,1,2,3,1,1,0,,,,4.0,3,1,3,1,1,2,3,4,4,1,0,1,2,4,5,3,3,5,2,2,1,6,2,5,3,7,3,1,5,1,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,1,1
KHT-0091,2,5,2,2,1,1,2,2,1,1.0,3.0,1.0,,2,2,3,2,0,3,2,4,4,4,0,3,3,4,2,3,3,2,2,4,3,0,3,4,1,6,3,2,5,1,Paisa account mein aata hai toh KPRA dekh leta hai,1,0,1,0,0
KHT-0092,3,1,3,3,2,1,1,2,0,,,,2.0,3,2,3,2,1,3,2,1,4,2,0,2,3,4,3,1,2,4,2,3,2,4,3,4,2,5,3,3,6,2,Paisa account mein aata hai toh KPRA dekh leta hai,0,1,1,1,0
KHT-0093,2,4,1,3,5,1,3,2,1,1.0,4.0,4.0,,1,2,3,2,0,1,2,2,4,2,0,3,2,3,2,2,4,4,3,3,3,4,5,3,6,1,1,2,3,1,Fees zyada hain wallets ki,1,0,1,0,0
KHT-0094,1,4,4,3,2,2,1,2,0,,,,2.0,2,2,3,2,0,1,1,2,4,3,1,1,2,4,3,2,3,2,3,1,2,4,3,3,3,6,2,3,4,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,1,0
KHT-0095,1,2,1,3,1,3,2,1,1,1.0,2.0,2.0,,2,1,1,3,0,2,4,1,4,3,0,2,1,3,1,2,4,3,2,2,3,3,5,1,3,5,2,1,1,2,Registration ka tareeqa bohat mushkil lagta hai,1,0,0,0,1
KHT-0096,3,3,2,3,3,3,3,2,0,,,,3.0,3,2,3,2,0,2,3,2,3,4,0,2,2,4,3,3,3,3,2,1,3,3,4,2,7,3,3,1,1,1,Jab safe harbour ka pata chala to main ne register kar liya,0,0,0,0,0
KHT-0097,1,3,2,4,1,1,3,1,1,3.0,4.0,3.0,,1,2,3,3,1,3,3,2,4,1,0,1,3,2,3,1,3,2,4,3,4,2,2,2,5,6,3,2,2,1,Darr hai ke FBR aa jaye ga,0,0,1,0,1
KHT-0098,1,1,3,4,5,3,2,1,1,1.0,1.0,1.0,,3,2,2,2,0,3,5,1,3,2,0,1,2,3,3,3,3,2,3,2,4,4,4,1,2,6,3,3,7,2,Internet sahi nahi hota yahan,1,1,0,0,1
KHT-0099,2,2,4,2,1,3,3,1,0,,,,3.0,3,2,3,2,0,2,2,4,3,1,0,2,1,2,4,2,2,5,4,3,2,2,5,1,5,7,3,1,6,1,Mujhe pata nahi tha ke kaise register karein,0,0,0,0,1
KHT-0100,3,6,2,2,2,2,1,1,0,,,,3.0,3,2,3,2,0,3,1,2,4,2,0,2,2,4,3,2,2,4,3,3,5,5,5,2,5,4,3,4,1,2,Fees zyada hain wallets ki,0,0,0,1,1
KHT-0101,3,6,3,2,3,3,3,2,0,,,,3.0,3,2,3,3,0,1,3,1,3,2,0,1,3,5,3,2,3,3,2,2,1,1,5,1,1,4,3,2,2,1,Darr hai ke FBR aa jaye ga,0,0,0,0,0
KHT-0102,3,2,2,1,2,2,2,1,1,2.0,1.0,2.0,,2,2,2,3,0,2,1,1,4,2,0,1,2,1,2,2,3,4,3,2,2,5,2,1,4,3,3,1,1,1,Paisa account mein aata hai toh KPRA dekh leta hai,0,0,0,0,1
KHT-0103,2,1,3,2,3,1,3,1,0,,,,2.0,1,1,3,1,0,3,2,2,2,2,0,1,2,4,4,2,2,3,3,1,3,4,1,3,3,2,3,2,2,2,Mere grahak cash hi dete hain,0,1,1,0,1
KHT-0104,1,6,1,3,3,1,1,1,0,,,,3.0,3,2,3,2,0,4,2,1,1,1,0,1,2,2,3,4,4,4,1,1,3,0,5,2,4,6,3,2,6,2,Jab safe harbour ka pata chala to main ne register kar liya,0,0,1,1,1
KHT-0105,3,6,3,3,4,1,1,1,0,,,,2.0,3,1,3,2,1,3,3,2,3,5,0,2,3,1,4,2,3,1,1,3,2,0,4,5,2,3,2,2,3,2,Darr hai ke FBR aa jaye ga,0,0,1,1,1
